epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0328,0.57215,3.13674,0.98782,0.01409,0.99764,0.34805,0.30048,0.44106,3.70894,0.89785,0.000362454,0.000362454,0.000362454
2,45.3186,0.58379,2.15842,0.96179,0.48772,0.54899,0.54301,0.44029,0.60821,3.09482,1.06064,0.000725533,0.000725533,0.000725533
3,60.2537,0.58765,1.76951,0.95339,0.64407,0.28726,0.17404,0.06349,2.08804,4.78431,2.78997,0.00108128,0.00108128,0.00108128
4,75.2746,0.58373,1.56163,0.94089,0.49859,0.3059,0.32103,0.24565,0.85727,3.01967,1.23286,0.001078,0.001078,0.001078
5,90.2993,0.57377,1.42344,0.9457,0.62995,0.78971,0.70308,0.59923,0.52056,1.74976,0.94949,0.001067,0.001067,0.001067
6,105.3,0.51715,1.32007,0.91626,0.69545,0.82897,0.77152,0.67249,0.48499,1.54796,0.952,0.00105601,0.00105601,0.00105601
7,120.351,0.50817,1.16895,0.91816,0.59447,0.89507,0.72629,0.65943,0.44632,1.48498,0.90261,0.00104501,0.00104501,0.00104501
8,135.269,0.52343,1.10212,0.92647,0.48284,0.84095,0.6721,0.61624,0.41473,1.60803,0.88939,0.00103401,0.00103401,0.00103401
9,150.116,0.48986,1.04627,0.92083,0.61223,0.81409,0.74113,0.68931,0.40163,1.33151,0.86095,0.00102301,0.00102301,0.00102301
10,164.976,0.50759,1.08659,0.92171,0.68382,0.81207,0.76202,0.69383,0.41246,1.19021,0.88067,0.00101201,0.00101201,0.00101201
11,179.817,0.47755,0.99817,0.90901,0.61995,0.76588,0.69459,0.64351,0.37084,1.50051,0.85641,0.00100101,0.00100101,0.00100101
12,194.643,0.44581,0.894,0.89382,0.74015,0.89443,0.82699,0.7656,0.39467,0.84177,0.8681,0.000990012,0.000990012,0.000990012
13,209.444,0.45936,0.85853,0.90968,0.69708,0.88822,0.78307,0.72783,0.36778,0.97618,0.85756,0.000979013,0.000979013,0.000979013
14,224.242,0.42924,0.83189,0.89634,0.69942,0.89003,0.86913,0.81631,0.36526,0.90336,0.84573,0.000968014,0.000968014,0.000968014
15,238.382,0.45002,0.81761,0.90256,0.72423,0.89287,0.83505,0.78442,0.33694,0.88809,0.83245,0.000957015,0.000957015,0.000957015
16,252.419,0.43471,0.79021,0.90081,0.7945,0.88563,0.87972,0.83737,0.33803,0.7398,0.83803,0.000946016,0.000946016,0.000946016
17,266.615,0.43084,0.74919,0.88141,0.67761,0.95681,0.82492,0.78706,0.331,0.81864,0.83296,0.000935018,0.000935018,0.000935018
18,280.813,0.4385,0.73397,0.90121,0.79355,0.95124,0.9282,0.87275,0.324,0.62208,0.83514,0.000924019,0.000924019,0.000924019
19,294.871,0.41666,0.71149,0.8892,0.78121,0.82696,0.87238,0.82985,0.34036,0.85269,0.84199,0.00091302,0.00091302,0.00091302
20,309.05,0.41244,0.67543,0.89278,0.71938,0.74912,0.81103,0.77367,0.31902,1.09335,0.83967,0.000902021,0.000902021,0.000902021
21,323.136,0.40816,0.68122,0.89125,0.7921,0.86031,0.87488,0.82283,0.33762,0.74351,0.85784,0.000891022,0.000891022,0.000891022
22,337.361,0.40054,0.67154,0.88861,0.72814,0.87021,0.8308,0.79085,0.31075,0.69152,0.83449,0.000880023,0.000880023,0.000880023
23,351.466,0.40366,0.61939,0.89384,0.80175,0.90095,0.90278,0.86402,0.31079,0.66243,0.82715,0.000869024,0.000869024,0.000869024
24,365.608,0.41843,0.66029,0.89057,0.93493,0.93573,0.97754,0.93558,0.30156,0.47541,0.82852,0.000858025,0.000858025,0.000858025
25,379.736,0.4023,0.61084,0.88628,0.92215,0.95158,0.98282,0.9483,0.29321,0.45822,0.82191,0.000847026,0.000847026,0.000847026
26,393.765,0.39209,0.59171,0.88514,0.81127,0.83996,0.9258,0.89826,0.27959,0.58945,0.81558,0.000836027,0.000836027,0.000836027
27,407.787,0.38509,0.61261,0.87998,0.90346,0.93501,0.97201,0.94207,0.28161,0.4308,0.81373,0.000825029,0.000825029,0.000825029
28,421.817,0.37863,0.56105,0.88306,0.92273,0.94429,0.97776,0.94883,0.28164,0.41979,0.81763,0.00081403,0.00081403,0.00081403
29,436.848,0.36458,0.54771,0.88002,0.89051,0.88854,0.95863,0.9114,0.28401,0.5182,0.81978,0.000803031,0.000803031,0.000803031
30,450.902,0.37616,0.56664,0.88407,0.83822,0.97977,0.97773,0.94587,0.28036,0.4576,0.8222,0.000792032,0.000792032,0.000792032
31,464.967,0.37366,0.54743,0.88286,0.91723,0.96475,0.9792,0.95246,0.28105,0.42748,0.82746,0.000781033,0.000781033,0.000781033
32,479.024,0.36222,0.57833,0.88523,0.91536,0.93036,0.97269,0.93137,0.28191,0.46,0.83277,0.000770034,0.000770034,0.000770034
33,493.113,0.36041,0.54575,0.87509,0.90536,0.95326,0.97663,0.94179,0.29042,0.42194,0.82283,0.000759035,0.000759035,0.000759035
34,507.259,0.35728,0.53588,0.87196,0.90678,0.9335,0.97125,0.94502,0.25616,0.43749,0.81105,0.000748036,0.000748036,0.000748036
35,521.43,0.35579,0.54316,0.88174,0.94064,0.94776,0.97678,0.95753,0.24634,0.36638,0.79946,0.000737037,0.000737037,0.000737037
36,535.653,0.35971,0.48652,0.88309,0.92072,0.96555,0.98376,0.94764,0.29045,0.38083,0.8295,0.000726038,0.000726038,0.000726038
37,549.791,0.36493,0.50686,0.87873,0.93127,0.96253,0.98678,0.96798,0.25737,0.36875,0.81929,0.00071504,0.00071504,0.00071504
38,563.961,0.37246,0.55035,0.87994,0.80264,0.88117,0.91987,0.85888,0.33428,0.56044,0.86122,0.000704041,0.000704041,0.000704041
39,578.044,0.35139,0.48576,0.88232,0.91923,0.92738,0.96957,0.94502,0.26591,0.43787,0.81934,0.000693042,0.000693042,0.000693042
40,592.128,0.34712,0.48401,0.87725,0.96942,0.97132,0.99199,0.96835,0.25392,0.31375,0.80471,0.000682043,0.000682043,0.000682043
41,606.274,0.36364,0.47639,0.87998,0.95713,0.95594,0.98817,0.96749,0.2432,0.30768,0.80059,0.000671044,0.000671044,0.000671044
42,620.349,0.36671,0.47385,0.87707,0.95758,0.95437,0.9908,0.9637,0.26552,0.33464,0.80503,0.000660045,0.000660045,0.000660045
43,634.429,0.35667,0.44898,0.87828,0.94632,0.97133,0.98704,0.96816,0.23791,0.32435,0.79947,0.000649046,0.000649046,0.000649046
44,648.435,0.3533,0.44411,0.87692,0.92635,0.95696,0.96788,0.95077,0.24375,0.37625,0.7987,0.000638047,0.000638047,0.000638047
45,674.141,0.34288,0.47531,0.87578,0.94388,0.97268,0.9879,0.96748,0.24255,0.33039,0.80155,0.000627048,0.000627048,0.000627048
46,721.392,0.33215,0.43733,0.87243,0.96744,0.95521,0.98867,0.97759,0.22311,0.30558,0.79253,0.000616049,0.000616049,0.000616049
47,769.898,0.33671,0.40929,0.86835,0.98018,0.96583,0.99234,0.97892,0.23334,0.29086,0.7965,0.000605051,0.000605051,0.000605051
48,817.41,0.33113,0.42445,0.87273,0.95664,0.99528,0.99369,0.97698,0.24346,0.29233,0.80312,0.000594052,0.000594052,0.000594052
49,863.48,0.334,0.40993,0.86899,0.97419,0.96885,0.99432,0.97427,0.2235,0.26749,0.79851,0.000583053,0.000583053,0.000583053
50,912.944,0.33053,0.42132,0.86682,0.95575,0.97201,0.99183,0.96909,0.24858,0.336,0.79989,0.000572054,0.000572054,0.000572054
51,958.033,0.33122,0.40417,0.87254,0.95015,0.99145,0.99309,0.98025,0.21496,0.25817,0.795,0.000561055,0.000561055,0.000561055
52,1005.81,0.3324,0.4261,0.87435,0.98629,0.99693,0.99465,0.98277,0.22234,0.25208,0.79091,0.000550056,0.000550056,0.000550056
53,1052.55,0.32419,0.38977,0.87163,0.95398,0.96439,0.98801,0.97392,0.22708,0.26701,0.79538,0.000539057,0.000539057,0.000539057
54,1071.61,0.32639,0.41388,0.87606,0.96856,0.97667,0.99184,0.93388,0.28073,0.32543,0.83568,0.000528058,0.000528058,0.000528058
55,1085.78,0.30895,0.38381,0.86319,0.9719,0.9812,0.98893,0.97587,0.21659,0.27415,0.79485,0.000517059,0.000517059,0.000517059
56,1099.86,0.325,0.40145,0.87571,0.9096,0.98148,0.99266,0.97571,0.22499,0.33049,0.79519,0.00050606,0.00050606,0.00050606
